Name,Year,Genre,Rating,Description
Kaiba,(2008),"Animation, Adventure, Drama",8.1,"This anime puts forth fascinating philosophical questions. It's a terrific series for its plot and well fleshed out sci-fi world. It's a unique love story set in a world where it's possible to store memories in databanks and transfer those memories to new bodies. This has made death irrelevant. However Kaiba uses an animation style that will put a lot of people off, for those of you who bear through that you'll be subject to a truly unforgettable anime. Highly recommended to experienced anime fans looking for something unique."
Tenkû no Esukafurône,(1996),"Animation, Action, Adventure",7.8,"Escaflowne= This is a really well rounded anime, it has fantasy, mecha, romance and adventure. What's more it manages to do all these aspects well. The characters are well fleshed out overall and each gets enough screen time. My only complaints are with the slow early episodes and some slight issues with character design. This is a really solid anime and I wouldn't hesitate in recommending it to anyone."
Yu Yu Hakusho,(1992–1995),"Animation, Action, Adventure",8.5,"A solid all rounder anime. There's comedy, action, mystery and fantasy. It's created by the same guy who wrote Hunter x Hunter, if you need further reason as to know why you should watch this...... it beat Dragon Ball Z in ratings during its tv run.
I consider it a much better anime than DBZ and if you liked that you should definitely check out this one. Recommended highly to fans of Hunter X Hunter and Inuyasha."
Quando as Cigarras Choram,(2006),"Animation, Drama, Horror",7.9,"Many people consider it the greatest horror of all time, it's certainly among the better examples in recent years. This show will make many tremble and a lot of you will be watching scenes through your hands. It was the mystery element that interested me, I had to know what was happening and where it was going. You'll have to watch the second season also to get the full picture, that's a total of 50 episodes. It certainly had something going for it to keep me interested for that length of time. Recommended to fans of Monster and those who enjoy suspense/horror."
Durarara!!,(2010),"Animation, Action, Comedy",7.8,"Look it's Baccano! oh wait, no it's the imitator of Baccano! The similarities between the two are plenty, it shouldn't come as a surprise as both anime were made largely be the same team. They took the elements that made Baccano! a success (mystery killer, large cast of characters, extreme violence) and rehashed them for this. If you love one the odds are you'll also love the other. The only huge difference is length and setting. While it's predecessor was original and had a great ending, the same can't be said for this work. However it is a quality anime, recommended to mystery/action fans."
Kidô Senshi Gundam,(1979–1980),"Animation, Action, Drama",7.9,"Mobile Suit Gundam= Where to begin on this series? It's arguably the most successful anime franchise ever, it has spawned countless prequels, sequels, ova's, movies etc. One thing that has become apparent is that the Japanese sure do love giant fighting robots :P Overall this will be a great anime for mecha fanatics and it's certainly worthwhile viewing to watch what kick started the whole Gundam phenonium."
FLCL,(2000–2001),"Animation, Action, Comedy",8.1,"It’s probably the most unique, unorthodox anime I’ve ever watched. The first time I watched FLCL I thought “what the hell am I watching” and that’s something that will run through the minds of most first time viewers. It’s a series that is near impossible to describe, hilarious randomness probably best sums it up. For those who do watch it through it inevitably becomes one of their favourite series, my only complaint is I wish there had been more episodes."
Mirai shônen Konan,(1978),"Animation, Adventure, Comedy",8.8,"Future Boy Conan= A masterfully directed 26 episode anime by the great Hayao Miyazaki. It features all the whimsy and wonder that's present in his films, in my opinion this series surpasses most of his other work. The art is also of a very high standard in comparison to other works from this era. It's a great, wholesome adventure. It appeals to the kid in all of us, everybody can enjoy this one."
Gankutsu-ô,(2004–2005),"Animation, Drama, Mystery",8.0,"Gankutsuou= This is definitely a brilliant anime, partly due to the fact that it's loosely based on the novel (The Count of Monte Cristo). The word loosely is key, do not expect if you have read the book that this anime stays true to the source material. Anybody who goes into this expecting an anime version of the novel will be bitterly disappointed. It should be noted that this anime has an outlandish, visually stunning art style. The art style may put some off but for those who have seen a lot of anime with generic animation, the attempt to be different will be much appreciated. The suspense, betrayal and thriller aspects of this anime are outstanding. It will make you want to read the novel, which even the purists will agree is a good thing."
N.H.K ni yôkoso!,(2006),"Animation, Comedy, Drama",8.3,"Welcome To The NHK= A story about a recluse. How could an anime about a withdrawn loner who barricades himself in his apartment be so interesting? While the first half of the series makes great use of humour, the second half is extremely touching and poignant. It deals with a wide variety of mature problems in society from parental violence to suicide. Don't underestimate this anime by the comedic moments early on, it's one of the most profound and memorable anime I've ever seen."
Rittai anime ie naki ko Remi,(1977–1978),"Animation, Adventure, Drama",7.9,"Ie Naki Ko= Remi is a young boy that's sold to a traveling entertainer, he now begins his life as a slave. You know immediately as you sit down to watch this it's going to be full of hardship and sadness. This anime is brilliantly directed by the great Osamu Dezaki, he allows the classic novel this is based on to be fully realised as an anime adaptation. It's a terrific sombre journey, recommend to fans of The Rose of Versailles and Romeo no Aoi Sora."
Sureiyâzu,(1995–2009),"Animation, Action, Adventure",7.5,"Slayers= A perfect harmony of fantasy, action and comedy. Slayers is hugely enjoyable. It features loads of memorable characters, I suspect Lina will be most peoples favourite. Despite the fact this anime is from the 90's it has aged really well. One of the most fun and zany anime I've seen. What's great about this is that the second season Slayers Next doesn't disappoint, I actually think it's far better. Highly recommended to comedy/fantasy fans."
Planetes,(2003–2004),"Animation, Drama, Sci-Fi",8.2,"Do you need an anime with heart pounding action in every episode? If so Planetes is not for you. Do you like anime that aren't much more than sentimental drivel, where the show takes cheap emotional shots by having characters in anguish constantly, those anime that underestimate the intellect of the viewer and try to induce cheap tears. If so Planetes is not for you. 
If however you like anime with deep and reflective messages on life, if you like anime completely out of the norm, if you like well fleshed out characters, a solid story and some flawless voice acting... then this is the anime for you.
P.S. (The only thing holding this back from being a perfect 10/10 is the slight issues with animation and the underwhelming music).
Nonetheless certainly for experienced and adult anime viewers this is an essential watch."
Kimi ni todoke,(2009–2011),"Animation, Comedy, Drama",7.8,"It's slightly different than your regular romance story but in the end it remains a generic shy girl and hot guy fall in love tale. This anime uses the ""misunderstandings"" effect a lot, particularly in the second season (a method Maison Ikkoku had been using over 25 years earlier), that's not to say Kimi ni Todoke doesn't do it well I'm just pointing out it has been done. Highly recommended to fans of Maison Ikkoku and vice versa. It's a must for fans of slow paced, misunderstandings romance anime."
City Hunter,(1987–1991),"Animation, Action, Comedy",7.7,"A incredible cast of characters, great art for its era, a strong soundtrack but most importantly delivers brilliant comedy and roaring action, that's City Hunter in a nut shell. 
This is an absolute masterpiece of anime and its hidden gem status makes it a special anime to all of those who have watched it, it's one of those series you almost want to keep to yourself."
Ôran kôkô hosutobu,(2006),"Animation, Comedy, Romance",8.2,"A favourite of female anime viewers, Ouran High School Host Club is a silly rom/com full to the brim with pretty boys and pink frills. It's mostly an episodic comedy so there's not much in the way of a deep plot, however many people are sure to enjoy the characters and humour. Recommended to fans of Fruits Basket and Toradora!"
Re mizeraburu: shoujo kozetto,(2007– ),"Animation, Drama, Family",8.0,"Les Miserables: Shoujo Cosette= Imagine some Japanese guys got their hands on the story of Les Miserables, then imagine they decided to take that story which definitely is not for children and they decided to adapt it to make it kid friendly. That's exactly what this is, surprisingly though it's quiet good. The story is kept as close to the source as possible considering the age of the intended audience. The most fascinating thing about this adaptation is that the story revolves more around Cosette than Jean Valjean. Recommended highly to fans of Les Miserables who aren't complete purists and are open to adaptations."
Michiko to Hatchin,(2008– ),"Animation, Action, Adventure",7.5,"This anime is surprisingly good, it's definitely one of my guilty pleasure anime. Let me say this right off the bat, Michiko is one of the hottest, most kickass anime chicks ever. The story is set in Brazil and tells the tale of a sexy criminal named Michiko who escapes from prison and rescues an abused girl called Hatchin. This may not be the most thought provoking plot but it was a really solid series. It may have dragged a little in the middle but this series gives off almost a Cowboy Bebop vibe that its real strengths are the characters. It has fantastic production values, some entertaining action scenes and a good ending. Highly recommended to fans of Cowboy Bebop, Black Lagoon and Phantom: Requiem For The Phantom."
Bakemonogatari,(2009–2010),"Animation, Action, Comedy",8.0,"This is a mystery/romance/supernatural anime that involves vampires. It is genuinely a masterpiece of its genre, the only reason it's not higher is that it appeals mostly to a niche group.
It's a very unique anime with some very peculiar characters, while it may take some time to adjust, you will inevitably become hooked. This anime is guaranteed to entertain if given a fair shake."
Mononoke,(2007),"Animation, Fantasy, Horror",8.3,"Mononoke= The greatest outright horror anime of all time, it's undeniable. This puts all the pretenders among the anime horror genre firmly in their mediocre place. It's fantastically stylish and capable of instilling genuine fear into the viewer. Yes it features a hugely unique art style that casual anime viewers may not like but this isn't a drawback, this series is for those who can appreciate it, at only 12 episodes long you've got no excuses. It really is a spectacular work of art."
Purinsesu Chuchu,(2002–2003),"Animation, Adventure, Comedy",8.1,"On paper I should have hated Princess Tutu, the name, the cuteness, the fact that it's a magical girl anime and the huge amount of everything pink. I mean this is as far as it gets from Cowboy Bebop and yet somehow I enjoyed Princess Tutu. It has a tremendous plot with huge drama and unexpected plot twists. This anime shattered all preconceptions I had going into it, don't be put off by the silly comedy in the initial episodes. It's magnificently unique, has a wonderful plot and is easily the greatest magical girl anime ever made. Even guys can thoroughly enjoy this."
Rainbow: Nishakubou no shichinin,(2010– ),"Animation, Crime, Drama",8.3,"A group of deliquents tossed into a grim disciplinary school in post WW2 Japan, well this anime certainly has a different setting. That will be welcomed by people sick of the typical school set or future set anime. Rainbow has good visuals, sound and an interesting premise, so why isn't this higher? Well for an anime that should be all about the characters, there's a surprising lack of character development. This anime is bleak, depressing, action heavy and at times uplifting. It should have been a character driven masterpiece but in the end Rainbow in effort to appeal to the widest demographic wound up just being a good series. Recommended to fans of friendship stories."
Taiyô no ko Esuteban,(1982–1983),"Animation, Adventure, Comedy",8.7,"This is unquestionably one of the greatest adventure anime ever made, each episode is utterly fantastic, it really has stood the test of time. Anybody who enjoys adventure stories should really check this one out, I'd compare it to Studio Ghibli films in the respect that it can be wholly enjoyed by both children and adults. I'd recommend watching this in Japanese but it's impossible to find subtitled, you'll have little alternative but to watch the English dubs for this one."
Sayonara zetsubô sensei,(2007),"Animation, Comedy, Drama",7.6,"If you like dark humour you're in for a treat. It's an unorthodox comedy about a teacher often referred to as Mr. Despair, he's called that because he's often left suicidal by the harsh and gruesome reality of life. He teaches a class full of strange and unique students. This anime has great production values and I'd really recommend it if you want a different type of comedy full of quirky characters."
Akage no An,(1979),"Animation, Drama, Family",7.7,"Akage no Anne= It's a wonderful anime, it's just a simple tale of a young orphan girl growing up and dealing with everyday issues. There isn't some great villain that needs to be stopped, no maniacal schoolgirls wielding knives or vampires behind every closed door, no Akage no Anne is a tale of utmost simplicity and all the better for that fact. It's a joy and wholesome story of a girl making friends, dealing with school and studies etc.
It's a masterfully told story, it's among the finest slow paced, slice of life anime. If the slice of life genre isn't your thing maybe give this a miss. Recommended to fans of Nobody's Boy: Remi and Romeo no Aoi Sora."
Uchû kaizoku kyaputen Hârokku,(1978–1979),"Animation, Action, Adventure",7.8,"Space Pirate Captain Harlock= Classic anime at its finest. The main draw for me here is the characters, Harlock is a once off, he's magnificent and treated with a fascinating seriousness. Harlock is a character that many have imitated and reinvented in modern anime, if you wish to see the original, your search is over. This anime had a big influence on the medium, many since have taken cues from Harlock. The closest thing in anime today to this is One Piece, it evokes a similar feeling. Recommended highly to fans of old school anime."
Chobits,(2002–2003),"Animation, Comedy, Drama",7.3,"It's one of those anime with humanoid computers where the boundaries of what's ethical becomes blurred. It has comedy, romance and fanservice. Personally I think the anime could have been better if the themes were explored more seriously and a little less focus was on the perverted comedy. It's still a good anime but it could have been great, hence it's placing."
Takarajima,(1978–1987),"Animation, Action, Adventure",8.4,"Takarajima= If you're a fan of Treasure Island you're in for a treat. This anime adaptation to the classic novel captures all the adventure and whimsy of the source material. Who could overlook an anime teaming with pirates that include the notorious Long John Silver. The animation is a little dated but everything else about this from the plot, characters and music are top notch."
Turma do Barulho,(1981–1986),"Animation, Action, Adventure",7.5,"Urusei Yatsura= Rumiko Takahashi strikes again! This was her first work to receive an anime adaptation and considering Rumiko was still testing things out that she would nail on subsequent works, it has to be said Urusei Yatsura is pretty darn good. It's a silly comedy about a lecherous idiot and an attractive biniki wearing alien. Urusei Yatsura is one of the most influential anime ever made, it's an episodic comedy but it's a enjoyable watch and it has that great 80's feel."
Wolf's Rain,(2003–2004),"Animation, Action, Adventure",7.9,"Wolf's Rain = Another one of those anime that divides the viewers into two camps, you either love or hate it, in effort for objectivity I'm taking a stance of indifference. Certainly it has a great soundtrack and a very unique story.There was far too many recaps considering how short the series is and the ending left a little to be desired in my opinion. A definite work of art and worth watching at least once."
Hokuto no Ken,(1984–1988),"Animation, Action, Adventure",8.2,"Fist Of The North Star= Everything Dragonball wishes it was, FOTNS summed up is an epic, exceptionally violent battle shounen. It features characters heads exploding and people being torn apart. Also unlike DB and DBZ when characters die, they stay dead! Which is a big plus. It's unrefined, action entertainment at its peak. Few long running anime have the balls to kill off big characters. Recommended to those who have the audacity to say DBZ should be on this list, seriously watch Fist Of The North Star, Kenshiro would beat Goku with ease :P"
Samurai Champloo,(2004–2005),"Animation, Action, Adventure",8.6,"Samaurai Champloo is an epic action anime with lots of sword action. The characters in this are amazing. Mugen and Jin are beyond badass and Fuu is exceptionally cute. It’s beautifully animated and well written. It’s by the same director who made Cowboy Bebop. Enough said, it’s incredible."
Ef: A Tale of Memories.,(2007),"Animation, Comedy, Drama",7.5,"Over the course of its 12 episodes this romance series manages to keep our interest as separate stories intertwine while it manages to avoid most cliches of the genre. Personally it's a mixed bag for me, while I enjoyed one storyline, the other bored me. I enjoyed some characters and others felt like deadweight. However this unconventional romance anime manages to make it on this list through its unique approach and solid visuals."
Trigun,(1998),"Animation, Action, Adventure",8.2,"Some people love Trigun, I would have too if the show hadn't done a complete 180 midway through. It started off as a light comedy/action anime, where Vash was the focus and comedic relief. Then around half way through the show they switched the tone, tried to make it serious and in my opinion it didn't work. I've always felt the ending to be bitterly disappointing however this is just my opinion. Watch this for Vash, for the comedy, for that western/six shooter feel."
Hellsing Ultimate,(2006–2012),"Animation, Action, Fantasy",8.3,"Remember Hellsing? Remember enjoying it? Remember thinking Alucard was a great character? Do you like action, violence and vampires?
If yes then you must watch this. I know people who watched the original anime and have not seen this may be a little apprehensive but guys seriously this is better, much better."
Toradora!,(2008–2009),"Animation, Comedy, Drama",8.0,"It's one of the famous school set comedies in recent years, Toradora! just about deserves its place on this list. I can't exactly pinpoint why but I couldn't become emotionally attached to any of the characters, I found it as an anime to be wholly cliched and stereotypical, it's for these reasons that I found it only to be an okay anime.
I'm sure many people will adore Toradora! and I can appreciate that, don't let my opinion colour how you view this work. It definitely has merit, I just feel it could have been better."
Kaleido Star,(2003–2004),"Animation, Comedy, Drama",7.8,"Girly anime at its best xD. Okay between all the graphic violence and science fiction it's okay to indulge yourself in something a little less intense. 
Kaleido Star tells its story in a formulaic and slow paced method but this isn't a drawback as the sweet tale about a girl trying to realise her dream compliments the measured approach. It has some very sincere characters, uplifting moments, gorgeous visuals and it exudes a warm feeling."
Blood+,(2005–2006),"Animation, Action, Adventure",7.6,"This is an anime for fans of the supernatural genre. It's one of those anime that has a teenage girl fighting the powers of darkness. Personally I've never understood why it has to be a schoolgirl facing demons/monsters, I guess people like to see girls in uniform acting all badass. This isn't one of my preferred genre but it has quality animation. If you're a fan of vampires or schoolgirls facing life/death situations check this out."
Golden Boy,(1995–1996),"Animation, Comedy",8.0,"It's a 6 episode OVA series. This anime is all about perverted comedy. I'm not really sure how to elaborate further, there's not a whole lot to be said, it's a guys comedy about a college drop out who has a high sex drive and overactive imagination. I struggled on whether or not to include this, I mean there's not much in the way of a plot or even a solid cast of characters. However the objective of a comedy is to make the viewer laugh, in this respect Golden Boy was successful for me, I did laugh and that's why it's included on the list.
Recommended to fans of GTO: Great Teacher Onizuka."
JoJo's Bizarre Adventure,(2012– ),"Animation, Action, Adventure",8.5,"Over the top action and cheese that actually works. Seriously it's an anime where pure outrageous actions and words reign supreme, it's like the producers bottled ""Anchorman: The Legend of Ron Burgundy"" and then turned it into this anime.
It's an action, adventure, supernatural series that isn't easy to describe, especially when the plot is almost an irrelevance. I recommend this to people who like action that can never be too big and words that can never be too loud."
Suzumiya Haruhi no Yûutsu,(2006–2009),"Animation, Comedy, Fantasy",7.8,"Slice of life anime as you've never experienced it, this anime enjoyed a great deal of success and acclaim upon its initial release, personally I've never been quiet as fond of it as others have been.
I'm basing the inclusion of this anime on the original 14 episode series, before the staff decided to cash in and dilute the quality by making an abundance more of Haruhi, you can have too much of a good thing.
I've said enough, anybody with a mild interest in anime knows all about this series, I'm sure you've heard of it, it's a school set, comedy/mystery/slice of life anime."
XXXHOLiC,(2006–2011),"Animation, Comedy, Drama",7.6,"I almost didn't include this anime because the themes it explores are far better done in two similar anime above, Mushi-shi and Natsume Yuujinchou. However I've come to realise xxxHOLic is a good series in its own right. 
It's once again a story about a guy that can see spirits etc that are invisible to most people, while it never manages to pull off the profound messages or stunning visuals of the previously mentioned series, xxxHOLiC does achieve a large degree of success in tackling those aspects. Something xxxHOLiC did was bring more humour to the table than the other anime, that was most welcomed.
Recommended to fans of Mushi-shi and Natsume Yuujinchou, just don't expect the same exceptional level on visuals."
Nodame kantâbire,(2007–2010),"Animation, Comedy, Drama",8.2,"Nodame Cantabile= Classical music, romance and comedy what more could you want. If I'm honest the story and tone are light, no question the biggest draw of this anime is the music. If you're a fan of classical music you'll adore this anime, there was pieces from Beethoven, Mozart, Rachmaninov, Liszt and lots of other famous composers. The comedy works most of the time and the romance feels sincere, this anime has a lot going for it, it's nothing groundbreaking but certainly a solid series worth watching once. Highly recommended to fans of classical music. ”"
Seikai no monshô,(1999),"Animation, Action, Drama",7.6,"Crest of the Stars is a decent sci-fi anime, unlike other anime far less focus is put on action and more on drama/politics/romance. There's action here but I must stress there is no mecha, so if you're not a fan of giant fighting robots then rejoice, this is a space set anime with no giant robots in sight. 
This anime is rather slow paced so be sure to watch the subsequent seasons (titled Banner of the Stars) if you want to fully appreciate this work."
Clannad,(2007–2008),"Animation, Comedy, Drama",7.8,"I can't deny how successful Clannad has become even if I feel all the praise it gets is largely unjustified. I say this because season 1 of Clannad is nothing more than a very average, very generic school life/drama. It's season 2 where it picks up, Clannad: After Story. I personally don't believe it was anything spectacular and the first season is undeniably mediocre. However Clannad over the course of its two seasons had an abundance of drama, sadness and joy. It was something of an emotional roller coaster and for that reason it's included on this list."
Katanagatari,(2010),"Animation, Action, Adventure",7.8,"I applaud this anime for its originality and innovation. The art style is visually appealing, the script writing thoroughly engaging. Fantastic voice acting, a tried and tested narrative involving a samurai style.
It's by the same author who wrote Bakemonogatari and while completely different, in my opinion is even more recommendable. The biggest fault of this series is that it perhaps is slightly too dialogue heavy. Indeed we hear about epic battles in this series but never actually see them. 
P.S. This anime is 12 episodes long and each episode lasts for roughly 50 minutes."
Kimagure orenji rôdo,(1985–1988),"Animation, Comedy, Drama",7.7,"It's 48 episodes of true brilliance, I'm usually not a big fan of romantic comedies but as with everything nothing is absolute and there is always rare exceptions. KOR is one of these rare exceptions. It has silly characters, hilarious situations, love triangles, misunderstandings and a great 80's feeling which makes it hugely comparable to Maison Ikkoku. Recommended to those who are daunted with tackling the 96 episodes of Maison Ikkoku, Kimagure Orange Road is similar but not quite as good. If you enjoy this anime you really should watch the aforementioned masterpiece."
Diário do Futuro,(2011–2013),"Animation, Action, Drama",7.5,"Better known as Mirai Nikki, this anime is flawed but for many of us falls under the title of guilty pleasure. 
Built under the guise of a menacing femme fatale, many are sure to fall for Yuno due to her warped sense of love.
It's got action, romance, comedy, ridiculous characters, some sketchy plot twists and some shaky time travel.
Recommended to fans of Death Note and Elfen Lied."
Koi kaze,(2004),"Animation, Drama, Romance",7.4,"This anime deals with the taboo subject of incest. Don't let the appalling theme put you off, this isn't low brow entertainment, this anime tackles with frightening realism and maturity a subject that most only speak about in hushed voices. This anime will force you to look at your morals and make you question what is love. This anime pulls no punches and I'm putting my neck on the line with its inclusion on this list. Recommended to those old enough to understand its message."
Tekunoraizu,(2003),"Animation, Drama, Sci-Fi",7.6,"After much deliberation I decided to include this title, I struggled with this because while Texhnolyze is certainly an interesting piece of work it's far from entertaining. The story tells the tale of a boxer who lives in an underground society, he becomes the guinea pig of a mad doctor who replaces some of his limbs with artificial appendages called Texhnolyze. This is one of the most bleak and depressing anime I've ever seen, it's also so unique that it appeals very much to a minority. To give you an example some 17 minutes pass in the first episode before a single word is spoken. To complete Texholyze you will require the patience of a saint, the stomach of a goat and the mind of a brilliant lunatic. It's a mind bending anime that I managed to appreciate. Highly recommended to fans of Serial Experiments Lain."
Yojôhan shinwa taikei,(2010),"Animation, Comedy, Drama",8.4,"This anime is so utterly unique I almost didn't include it, it's executed in such a meticulous, unorthodox way that it almost entirely alienates the audience. You will most definitely have to step out of your comfort zone to try and handle this mind bending piece of work.
This anime often repeats the events of previous episodes (reminds me of how the film Groundhog Day was done), the thing is to be patient. If you've seen Groundhog Day you'll understand what I mean. You should also be warned that the subs come at you at the speed of light, some very fast talkers in this anime. Recommended to those who can handle the strange approach and fast subs, I'd only recommend this to highly experienced anime viewers (at least 200 anime seen to completion under your belt)."
